id,currently_anchored,did_accept_challenge,question_object_id,island_id,participant_id,question_content_type_id,treasure_id,last_anchored_at,challenge_accepted_at,did_open_treasure,did_reach,reached_at,treasure_opened_at,currently_in,is_treasure_visible,did_spade,spaded_at
95,f,f,112,25,253,15,21,,,f,f,,,f,f,f,
96,f,f,118,26,253,15,24,,,f,f,,,f,f,f,
97,f,f,123,27,253,15,18,,,f,f,,,f,f,f,
98,f,f,125,28,253,15,9,,,f,f,,,f,f,f,
99,f,f,126,29,253,15,4,,,f,f,,,f,f,f,
100,f,f,133,30,253,15,5,,,f,f,,,f,f,f,
101,f,f,141,31,253,15,16,,,f,f,,,f,f,f,
102,f,f,26,32,253,14,25,,,f,f,,,f,f,f,
103,f,f,144,33,253,15,2,,,f,f,,,f,f,f,
104,f,f,153,34,253,15,11,,,f,f,,,f,f,f,
105,f,f,19,35,253,14,3,,,f,f,,,f,f,f,
106,f,f,5,1,288,15,2,,,f,f,,,f,f,f,
107,f,f,10,2,288,15,20,,,f,f,,,f,f,f,
108,f,f,19,3,288,15,27,,,f,f,,,f,f,f,
109,f,f,23,4,288,15,5,,,f,f,,,f,f,f,
110,f,f,30,5,288,15,30,,,f,f,,,f,f,f,
111,f,f,35,6,288,15,21,,,f,f,,,f,f,f,
112,f,f,36,7,288,15,16,,,f,f,,,f,f,f,
113,f,f,9,8,288,14,4,,,f,f,,,f,f,f,
114,f,f,12,9,288,14,13,,,f,f,,,f,f,f,
115,f,f,41,10,288,15,31,,,f,f,,,f,f,f,
116,f,f,46,11,288,15,28,,,f,f,,,f,f,f,
117,f,f,47,12,288,15,23,,,f,f,,,f,f,f,
118,f,f,56,13,288,15,24,,,f,f,,,f,f,f,
119,f,f,60,14,288,15,7,,,f,f,,,f,f,f,
120,f,f,66,15,288,15,32,,,f,f,,,f,f,f,
121,f,f,71,16,288,15,12,,,f,f,,,f,f,f,
122,f,f,73,17,288,15,26,,,f,f,,,f,f,f,
123,f,f,82,18,288,15,29,,,f,f,,,f,f,f,
156,f,t,71,16,207,15,28,2020-03-28 08:53:10.096322+00,2020-03-28 08:59:11.098958+00,f,t,2020-03-28 08:41:33.377501+00,,f,t,f,
124,f,f,86,19,288,15,8,,,f,f,,,f,f,f,
125,f,f,,20,288,,,,,f,f,,,f,f,f,
126,f,f,93,21,288,15,34,,,f,f,,,f,f,f,
127,f,f,94,22,288,15,15,,,f,f,,,f,f,f,
128,f,f,100,23,288,15,6,,,f,f,,,f,f,f,
159,f,t,86,19,207,15,13,2020-03-28 10:40:50.846631+00,2020-03-28 10:40:55.713897+00,t,t,2020-03-28 10:40:31.284427+00,2020-03-28 11:32:37.626611+00,f,t,f,
129,f,f,104,24,288,15,14,,,f,f,,,f,f,f,
130,f,f,113,25,288,15,3,,,f,f,,,f,f,f,
131,f,f,119,26,288,15,18,,,f,f,,,f,f,f,
145,f,t,27,5,207,15,5,2020-03-28 11:33:51.546967+00,2020-03-28 11:34:18.910414+00,t,t,2020-03-28 11:33:42.550597+00,2020-03-28 11:34:10.161702+00,f,t,f,
132,f,f,123,27,288,15,25,,,f,f,,,f,f,f,
146,t,t,35,6,207,15,12,2020-03-28 11:39:14.948784+00,2020-03-28 09:41:51.103067+00,t,t,2020-03-28 11:39:03.60563+00,2020-03-28 11:39:20.329569+00,t,t,f,
133,f,f,125,28,288,15,1,,,f,f,,,f,f,f,
134,f,f,126,29,288,15,22,,,f,f,,,f,f,f,
135,f,f,137,30,288,15,11,,,f,f,,,f,f,f,
136,f,f,138,31,288,15,33,,,f,f,,,f,f,f,
137,f,f,23,32,288,14,19,,,f,f,,,f,f,f,
138,f,f,149,33,288,15,17,,,f,f,,,f,f,f,
139,f,f,155,34,288,15,9,,,f,f,,,f,f,f,
